"type","tag","title","author","year","volume","number","journal","pages","editor","booktitle","publisher","address","doi","misc","report","keywords","url","Link","keyword1","keyword2","keyword3","keyword4","keyword5","...25"
"techreport","tbep1018","Tampa Bay Restored Oyster Reef Monitoring Quality Assurance Project Plan","G. Raulerson, S. Herndon, R. Moyer, E. Plage, K. Radabaugh","2018","NA","#10-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10-18","bay habitats, program guidance, restoration, spatial analysis, TBERF","https://drive.google.com/file/d/15-bMHeFImcxoOSwE_hgb7-75kEaYgNob/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/15-bMHeFImcxoOSwE_hgb7-75kEaYgNob/view?usp=drivesdk"">View Document</a>","bay habitats","program guidance","restoration","spatial analysis","TBERF",NA
"techreport","tbep0918","Little Manatee River Ecosystem Restoration Master Plan","Southwest Florida Water Management District","2018","NA","#09-18","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund by the Southwest Florida Water Management District","Brooksville, Florida","NA","NA","#09-18","bay habitats, fish and wildlife, restoration, TBERF","https://drive.google.com/file/d/1tKDWAMQqOtFeju2gh7MkA3wT_-0dCN0S/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1tKDWAMQqOtFeju2gh7MkA3wT_-0dCN0S/view?usp=drivesdk"">View Document</a>","bay habitats","fish and wildlife","restoration","TBERF",NA,NA
"techreport","tbep0818","Microplastics in Tampa Bay: Abundance, Distribution, and Ecological Interactions and Technical Memorandum: Laboratory Methods for the Analysis of Microplastics","S. Sorace, S. Felde, D. Carroll, J. Necker, D. Hastings, S. Gowans, Amy Suida","2018","NA","#08-18","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","#08-18","TBERF, contaminants, fish and wildlife, wastewater","https://drive.google.com/file/d/1g0QEmHcFKkAd_RwGxqU5eX0xSBQEREKT/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1g0QEmHcFKkAd_RwGxqU5eX0xSBQEREKT/view?usp=drivesdk"">View Document</a>","TBERF","contaminants","fish and wildlife","wastewater",NA,NA
"article","tbep0718","Widespread recovery of seagrass coverage in Southwest Florida (USA): Temporal and spatial trends and management actions responsible for success","D. Tomasko, M. Alderson, R. Burnes, J. Hecker, J. Leverone, G. Raulerson, E. Sherwood","2018","135","NA","Marine Pollution Bulletin","1128-1137","NA","NA","Marine Pollution Bulletin","NA","10.1016/j.marpolbul.2018.08.049","#07-18","#07-18","climate change, bay habitats, restoration, seagrass","https://doi.org/10.1016/j.marpolbul.2018.08.049","<a href=""https://doi.org/10.1016/j.marpolbul.2018.08.049"">View Document</a>","climate change","bay habitats","restoration","seagrass",NA,NA
"incollection","tbep0618","Chapter 26 - Tampa Bay Estuary Case Study: Identifying Blue Carbon Incentives for Future Critical Coastal Habitat Restoration and Management Efforts","E.T. Sherwood, H. Greening, G. Raulerson, L. Sheehan, S. Crooks, R.P. Moyer, K.R. Radabaugh, S. Simpson, S. Emmett-Mattox, D. Tomasko, D. Robison, K. Yates","2019","NA","NA","NA","NA","L. Windham-Myers and S. Crooks and T. Troxler","A Blue Carbon Primer: The State of Coastal Wetland Carbon Science, Practice, and Policy","CRC Press","Boca Raton, Florida","NA","#06-18","#06-18","pollutant loading, nitrogen, program guidance, regulations, assessment","https://www.crcpress.com/A-Blue-Carbon-Primer-The-State-of-Coastal-Wetland-Carbon-Science-Practice/Windham-Myers-Crooks-Troxler/p/book/9781498769099","<a href=""https://www.crcpress.com/A-Blue-Carbon-Primer-The-State-of-Coastal-Wetland-Carbon-Science-Practice/Windham-Myers-Crooks-Troxler/p/book/9781498769099"">View Document</a>","pollutant loading","nitrogen","program guidance","regulations","assessment",NA
"techreport","tbep0518","2017 Tampa Bay Estuary Nutrient Management Compliance Assessment","E. Sherwood, M. Burke","2018","NA","#05-18","NA","NA","NA","NA","Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-18","assessment, monitoring, fish and wildlife, status and trends, water quality","https://drive.google.com/file/d/1XvJDlJYMdCPC1LWfECUq5jwbmKtywsjY/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1XvJDlJYMdCPC1LWfECUq5jwbmKtywsjY/view?usp=drivesdk"">View Document</a>","assessment","monitoring","fish and wildlife","status and trends","water quality",NA
"techreport","tbep0418","Tampa Bay Nekton Index, Final Report","M.N. Schrandt, T.C. MacDonald","2018","NA","#04-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-18","bay habitats, dredging, fish and wildlife, benthos, TBERF","https://drive.google.com/file/d/1oWm-xosC-mb9e8GnO4BmtJRNXjfEb4H_/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1oWm-xosC-mb9e8GnO4BmtJRNXjfEb4H_/view?usp=drivesdk"">View Document</a>","bay habitats","dredging","fish and wildlife","benthos","TBERF",NA
"techreport","tbep0318","Tampa Bay Dredge Hole Project: Benthic Assessment, Final Report","D. Karlen, B. Goetting, T. Dix, S. Markham, K. Campbell, J. Jernigan, J. Christian, A. Chacour, K. Martinez, L. Grossmann, and L. LaMonica","2018","NA","#03-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-18","bay habitats, dredging, fish and wildlife, benthos, TBERF","https://drive.google.com/file/d/1-rxzRWBjM-8HWus_C8t9NLqGzqwMl_kb/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1-rxzRWBjM-8HWus_C8t9NLqGzqwMl_kb/view?usp=drivesdk"">View Document</a>","bay habitats","dredging","fish and wildlife","benthos","TBERF",NA
"techreport","tbep0218","Tampa Bay Dredge Hole Project: Fisheries Assessment, Final Report","M.N. Schrandt, T.C. MacDonald","2018","NA","#02-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-18","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://drive.google.com/file/d/17Asf0eXXAh-JJ-JnbYoJp_XyeyJNBO9i/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/17Asf0eXXAh-JJ-JnbYoJp_XyeyJNBO9i/view?usp=drivesdk"">View Document</a>","status and trends","water quality","chlorophyll","light attenuation","seagrass",NA
"techreport","tbep0118","2017 Tampa Bay Water Quality Assessment","E. Sherwood, G. Raulerson","2018","NA","#01-18","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-18","bay habitats, water quality, assessment, nitrogen, tributary","https://drive.google.com/file/d/1cmmmfB32YpWg8KFuaLIWGxJjI0crtEp_/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1cmmmfB32YpWg8KFuaLIWGxJjI0crtEp_/view?usp=drivesdk"">View Document</a>","bay habitats","water quality","assessment","nitrogen","tributary",NA
"techreport","tbep1117","Channels A, G, and Rocky Creek Second Post-Modification Monitoring Project Report","S. Deitche, B. Meinecke, A. Hipolito","2017","NA","#11-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#11-17","bay habitats, restoration, monitoring, wastewater, water quality","https://drive.google.com/file/d/1wN0b_R5N5Heqaq-ipo2S39UYGXDEm8pN/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1wN0b_R5N5Heqaq-ipo2S39UYGXDEm8pN/view?usp=drivesdk"">View Document</a>","bay habitats","restoration","monitoring","wastewater","water quality",NA
"techreport","tbep10e17","CCMP Communications Plan: Evaluation Metrics Dashboard","Eunoia Media Lab","2017","NA","#10e-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10e-17","program guidance, education","https://drive.google.com/file/d/1ALFioWw5FK75wqznc0U15LBlndOYl3uY/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1ALFioWw5FK75wqznc0U15LBlndOYl3uY/view?usp=drivesdk"">View Document</a>","program guidance","education",NA,NA,NA,NA
"techreport","tbep10d17","CCMP Communications Plan","M. Cladas, M. Burke, and Eunoia Media Lab","2017","NA","#10d-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10d-17","program guidance, education","https://drive.google.com/file/d/11HmGMEZ4NGRH23MPfFgUCVoI-5BRv9bw/view?usp=sharing","<a href=""https://drive.google.com/file/d/11HmGMEZ4NGRH23MPfFgUCVoI-5BRv9bw/view?usp=sharing"">View Document</a>","program guidance","education",NA,NA,NA,NA
"techreport","tbep10c17","CCMP Monitoring and Indicators Plan","G. Raulerson","2017","NA","#10c-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10c-17","program guidance, assessment, monitoring, status and trends","https://drive.google.com/file/d/1H8_zpDT56m6fEGDlRNbRRoE3-tHYF7lH/view?usp=sharing","<a href=""https://drive.google.com/file/d/1H8_zpDT56m6fEGDlRNbRRoE3-tHYF7lH/view?usp=sharing"">View Document</a>","program guidance","assessment","monitoring","status and trends",NA,NA
"techreport","tbep10b17","CCMP Climate Change Vulnerability Assessment","M. Burke","2017","NA","#10b-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10b-17","program guidance, climate change, sea level rise","https://drive.google.com/file/d/1ddYs9HRsicZLGdfHSVytnfwO8I0ObVZl/view?usp=sharing","<a href=""https://drive.google.com/file/d/1ddYs9HRsicZLGdfHSVytnfwO8I0ObVZl/view?usp=sharing"">View Document</a>","program guidance","climate change","sea level rise",NA,NA,NA
"techreport","tbep10a17","CCMP Public Summary","N. O'Hara, Shafer Consulting, Inc.","2017","NA","#10a-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10a-17","program guidance","https://drive.google.com/file/d/14tWC6Q_51933naEwu4Gvw9_O8XsLVMMk/view?usp=sharing","<a href=""https://drive.google.com/file/d/14tWC6Q_51933naEwu4Gvw9_O8XsLVMMk/view?usp=sharing"">View Document</a>","program guidance",NA,NA,NA,NA,NA
"techreport","tbep1017","Charting the Course: The Comprehensive Conservation and Management Plan for Tampa Bay","N. O'Hara, Shafer Consulting, Inc.","2017","NA","#10-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#10-17","program guidance","https://drive.google.com/file/d/1HgnP5dC2LQqffc6Bq6klEuSUcNC2WRiZ/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1HgnP5dC2LQqffc6Bq6klEuSUcNC2WRiZ/view?usp=drivesdk"">View Document</a>","program guidance",NA,NA,NA,NA,NA
"article","tbep0917","Tampa Bay (Florida, USA): Documenting seagrass recovery since the 1980's and reviewing the benefits","E. Sherwood, H. Greening, J.O.R. Johansson, K. Kaufman, G. Raulerson","2017","57","3","Southeastern Geographer","294-319","NA","NA","Southeastern Geographer","NA","10.1353/sgo.2017.0026","#09-17","#09-17","bay habitats, nitrogen, seagrass, status and trends, transect","https://drive.google.com/file/d/1NSNKWtVD7mpVRKKO17kTr0AUsqf5CgQu/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1NSNKWtVD7mpVRKKO17kTr0AUsqf5CgQu/view?usp=drivesdk"">View Document</a>","bay habitats","nitrogen","seagrass","status and trends","transect",NA
"techreport","tbep0817","Phase 1: Critical Coastal Habitat Assessment: Baseline Monitoring Report","R. Price, D. Loy, D. Robison","2017","NA","#08-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#08-17","bay habitats, climate change, sea level rise, monitoring, transect","https://drive.google.com/file/d/122AvajD3fxOVORHfO5HQUMdXkLNoQm48/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/122AvajD3fxOVORHfO5HQUMdXkLNoQm48/view?usp=drivesdk"">View Document</a>","bay habitats","climate change","sea level rise","monitoring","transect",NA
"techreport","tbep07a17","Pyrodinium bahamense seeding potential in Tampa Bay: Executive Summary","C. Lopez, C. Smith, M. Marot, D. Karlen, A. Karim, A. Corcoran","2017","NA","#07a-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07a-17","chlorophyll, water quality, TBERF","https://drive.google.com/file/d/1emIQ2i4BdV-O702Pmpxv1b1k1cfcUv7X/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1emIQ2i4BdV-O702Pmpxv1b1k1cfcUv7X/view?usp=drivesdk"">View Document</a>","chlorophyll","water quality","TBERF",NA,NA,NA
"techreport","tbep0717","Seeding Potential of Pyrodinium Cysts in Old Tampa Bay","C. Lopez","2017","NA","#07-17","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","#07-17","chlorophyll, water quality, TBERF, harmful algal blooms","https://drive.google.com/file/d/1TJCxAL4Lx6godoSRHGmwKLfXr_aa7wgi/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1TJCxAL4Lx6godoSRHGmwKLfXr_aa7wgi/view?usp=drivesdk"">View Document</a>","chlorophyll","water quality","TBERF","harmful algal blooms",NA,NA
"techreport","tbep06a17","Critical Coastal Habitat Assessment Training Video","K. Radabaugh, R. Moyer, G. Raulerson, E. Sherwood","2017","NA","#06a-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06a-17","bay habitats, climate change, sea level rise, monitoring, transect","https://www.youtube.com/embed/WUKOuxFOtWI","<a href=""https://www.youtube.com/embed/WUKOuxFOtWI"">View Document</a>","bay habitats","climate change","sea level rise","monitoring","transect",NA
"techreport","tbep0617","Critical Coastal Habitat Assessment Training Manual","K. Radabaugh, R. Moyer, G. Raulerson, E. Sherwood","2017","NA","#06-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#06-17","bay habitats, climate change, sea level rise, monitoring, transect","https://drive.google.com/file/d/1cBFAyVheC-z4RyCnRImeAoO_fPibohN-/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1cBFAyVheC-z4RyCnRImeAoO_fPibohN-/view?usp=drivesdk"">View Document</a>","bay habitats","climate change","sea level rise","monitoring","transect",NA
"techreport","tbep0517","Phase 2: Critical Coastal Habitat Assessment Final Report","R. Moyer, K. Radabaugh","2017","NA","#05-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#05-17","bay habitats, climate change, sea level rise, monitoring, transect","https://drive.google.com/file/d/1bDZ0JmuD2_1RM6VkSrsAR3g8bciQaf3F/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1bDZ0JmuD2_1RM6VkSrsAR3g8bciQaf3F/view?usp=drivesdk"">View Document</a>","bay habitats","climate change","sea level rise","monitoring","transect",NA
"techreport","tbep0417","Estimates of Total Nitrogen, Total Phosphorus, Total Suspended Solids, and Biological Oxygen Demand Loadings to Tampa Bay, Florida: 2012-2016","Janicki Environmental, Inc.","2017","NA","#04-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#04-17","water quality, pollutant loading, modelling, nitrogen","https://drive.google.com/file/d/1MH1C6z43ijSTYe8feowy80A_qsDC1Pks/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1MH1C6z43ijSTYe8feowy80A_qsDC1Pks/view?usp=drivesdk"">View Document</a>","water quality","pollutant loading","modelling","nitrogen",NA,NA
"techreport","tbep0317","Tampa Bay Environmental Restoration Fund Final Report: Hard Bottom Mapping and Characterization for Restoration Planning in Tampa Bay","K. Kaufman","2017","NA","#03-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-17","bay habitats, benthos, spatial analysis, restoration, TBERF","https://drive.google.com/file/d/1UrLJYUQzR7uu_GhTA6rTlgfKoizwfyvp/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1UrLJYUQzR7uu_GhTA6rTlgfKoizwfyvp/view?usp=drivesdk"">View Document</a>","bay habitats","benthos","spatial analysis","restoration","TBERF",NA
"techreport","tbep0217","2016 Tampa Bay Estuary Nutrient Management Compliance Assessment","H. Greening, E. Sherwood","2017","NA","#02-17","NA","NA","NA","NA","Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","NA","NA","NA","#02-17","pollutant loading, nitrogen, program guidance, regulations, assessment","https://drive.google.com/file/d/1zUIbzKtkWfzKilmq_Aa4IsKLpPLBRqEU/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1zUIbzKtkWfzKilmq_Aa4IsKLpPLBRqEU/view?usp=drivesdk"">View Document</a>","pollutant loading","nitrogen","program guidance","regulations","assessment",NA
"techreport","tbep0117","2016 Tampa Bay Water Quality Assessment","E. Sherwood","2017","NA","#01-17","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-17","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://drive.google.com/file/d/1lzyD7Dv5c545UsHlAJ5RK882WesHSqjH/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1lzyD7Dv5c545UsHlAJ5RK882WesHSqjH/view?usp=drivesdk"">View Document</a>","status and trends","water quality","chlorophyll","light attenuation","seagrass",NA
"incollection","tbep0916","Seagrass Recovery in Tampa Bay, Florida (USA)","H. Greening, A. Janicki, E. Sherwood","2016","NA","NA","NA","1-12","C. Max Finlayson and G. R. Milton and R. C. Prentice and N. C. Davidson","The Wetland Book","Springer","Berlin, Germany","10.1007/978-94-007-6173-5_269-1","#09-16","#09-16","bay habitats, nitrogen, seagrass, status and trends, wastewater","https://doi.org/10.1007/978-94-007-6173-5_269-1","<a href=""https://doi.org/10.1007/978-94-007-6173-5_269-1"">View Document</a>","bay habitats","nitrogen","seagrass","status and trends","wastewater",NA
"techreport","tbep0816","Seagrass Transect Monitoring in Tampa Bay: A Summary of Findings from 1997 through 2015","R. Johansson","2016","NA","#08-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#08-16","seagrass, status and trends, bay habitats, monitoring, transect","https://drive.google.com/file/d/1Z_8L9sYQWSl1hon1tP1Y8zBo7MHQK9zC/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1Z_8L9sYQWSl1hon1tP1Y8zBo7MHQK9zC/view?usp=drivesdk"">View Document</a>","seagrass","status and trends","bay habitats","monitoring","transect",NA
"techreport","tbep07a16","Tampa Bay Blue Carbon Assessment: Addendum Calculations of Blue Carbon Benefits","L. Sheehan, S. Crooks, Various other contributors","2016","NA","#07a-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#07a-16","climate change, bay habitats, modelling, sea level rise, TBERF","https://drive.google.com/file/d/1afi9iBNTvNeOn3vssc4mv0RcX7rO85ze/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1afi9iBNTvNeOn3vssc4mv0RcX7rO85ze/view?usp=drivesdk"">View Document</a>","climate change","bay habitats","modelling","sea level rise","TBERF",NA
"techreport","tbep0716","Tampa Bay Blue Carbon Assessment: Summary of Findings","L. Sheehan, S. Crooks, Various other contributors","2016","NA","#07-16","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","#07-16","climate change, bay habitats, modelling, sea level rise, TBERF","https://drive.google.com/file/d/14xhQpdvlXMjUz-BG_zVS_eg2QYYZVdWz/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/14xhQpdvlXMjUz-BG_zVS_eg2QYYZVdWz/view?usp=drivesdk"">View Document</a>","climate change","bay habitats","modelling","sea level rise","TBERF",NA
"techreport","tbep0616","Robles Park Water Quality Improvement","S. Powers","2016","NA","#06-16","NA","NA","NA","NA","Final report prepared for the Tampa Bay Environmental Restoration Fund","St. Petersburg, Florida","NA","NA","#06-16","pollutant loading, water quality, restoration, stormwater, TBERF","https://drive.google.com/file/d/1sBino0meyPP0hyN33agsgoMX0zo-1u80/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1sBino0meyPP0hyN33agsgoMX0zo-1u80/view?usp=drivesdk"">View Document</a>","pollutant loading","water quality","restoration","stormwater","TBERF",NA
"techreport","tbep05a16","Channels A, G, and Rocky Creek Pilot Monitoring Project: Monitoring Database","S. Deitche","2016","NA","#05a-16","NA","NA","NA","NA","Prepared for the SWFWMD and TBEP by GPI, Inc","Tampa, Florida","NA","NA","#05a-16","bay habitats, restoration, monitoring, wastewater, water quality","https://drive.google.com/file/d/1FKYGmBZSXU8C9JeN31ml8JdcsRfHZtPa/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1FKYGmBZSXU8C9JeN31ml8JdcsRfHZtPa/view?usp=drivesdk"">View Document</a>","bay habitats","restoration","monitoring","wastewater","water quality",NA
"techreport","tbep0516","Channels A, G, and Rocky Creek Pilot Monitoring Project Report","S. Deitche","2016","NA","#05-16","NA","NA","NA","NA","Prepared for the SWFWMD and TBEP by GPI, Inc","Tampa, Florida","NA","NA","#05-16","bay habitats, restoration, monitoring, wastewater, water quality","https://drive.google.com/file/d/1KFPxoWAKTMewPfZtZD5lji2EiC4zFj4H/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1KFPxoWAKTMewPfZtZD5lji2EiC4zFj4H/view?usp=drivesdk"">View Document</a>","bay habitats","restoration","monitoring","wastewater","water quality",NA
"techreport","tbep0416","2015 Tampa Bay Estuary Nutrient Management Compliance Assessment","H. Greening, E. Sherwood","2016","NA","#04-16","NA","NA","NA","NA","Prepared for the FDEP and EPA by the Tampa Bay Nitrogen Management Consortium, Tampa Bay Estuary Program","NA","NA","NA","#04-16","pollutant loading, nitrogen, program guidance, regulations, assessment","https://drive.google.com/file/d/1Jejwmjv0WPkEPdOT6vPDWK9XIGnhC6vA/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1Jejwmjv0WPkEPdOT6vPDWK9XIGnhC6vA/view?usp=drivesdk"">View Document</a>","pollutant loading","nitrogen","program guidance","regulations","assessment",NA
"techreport","tbep0316","Update on the Development of a Screening Level Tool for Estimating Annual Hydrologic Loadings to Tampa Bay","Janicki Environmental, Inc.","2016","NA","#03-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#03-16","pollutant loading, modelling, nitrogen, water quality","https://drive.google.com/file/d/11NT0NQ2WbPO6pVZaD7P7Z6qjcwO1jxHw/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/11NT0NQ2WbPO6pVZaD7P7Z6qjcwO1jxHw/view?usp=drivesdk"">View Document</a>","pollutant loading","modelling","nitrogen","water quality",NA,NA
"techreport","tbep02b16","Southwest Florida Tidal Creeks Nutrient Study: Databases","M. Wessel, K. Dixon","2016","NA","#02b-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02b-16","bay habitats, water quality, assessment, nitrogen, tributary","https://drive.google.com/file/d/18L1x-gDNfRwnLk_g_9mprm796YXldB-1/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/18L1x-gDNfRwnLk_g_9mprm796YXldB-1/view?usp=drivesdk"">View Document</a>","bay habitats","water quality","assessment","nitrogen","tributary",NA
"techreport","tbep02a16","Southwest Florida Tidal Creeks Nutrient Study: Appendices","M. Wessel, K. Dixon","2016","NA","#02a-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02a-16","bay habitats, water quality, assessment, nitrogen, tributary","https://drive.google.com/file/d/1HOVc0hnYczLyFXe-X0tSvjWGK9edYKig/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1HOVc0hnYczLyFXe-X0tSvjWGK9edYKig/view?usp=drivesdk"">View Document</a>","bay habitats","water quality","assessment","nitrogen","tributary",NA
"techreport","tbep0216","Southwest Florida Tidal Creeks Nutrient Study","M. Wessel, K. Dixon","2016","NA","#02-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#02-16","bay habitats, water quality, assessment, nitrogen, tributary","https://drive.google.com/file/d/1YeaZUqIFiak8KdJLSqNrCsQETf8_XTzZ/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1YeaZUqIFiak8KdJLSqNrCsQETf8_XTzZ/view?usp=drivesdk"">View Document</a>","bay habitats","water quality","assessment","nitrogen","tributary",NA
"techreport","tbep0116","2015 Tampa Bay Water Quality Assessment","E. Sherwood","2016","NA","#01-16","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#01-16","status and trends, water quality, chlorophyll, light attenuation, seagrass","https://drive.google.com/file/d/1R7JX5d-X5eymgsH2T-bw3LwKlNA9Nl8p/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1R7JX5d-X5eymgsH2T-bw3LwKlNA9Nl8p/view?usp=drivesdk"">View Document</a>","status and trends","water quality","chlorophyll","light attenuation","seagrass",NA
"techreport","tbep1815","MacDill Living Shoreline Project","S. Herndon","2015","NA","#18-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#18-15","restoration, bay habitats, TBERF, shellfish","https://drive.google.com/file/d/15u5c7jV_ajdoGT9F7t7QQV1ClxUqC_EQ/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/15u5c7jV_ajdoGT9F7t7QQV1ClxUqC_EQ/view?usp=drivesdk"">View Document</a>","restoration","bay habitats","TBERF","shellfish",NA,NA
"techreport","tbep1715","Reducing N Loads to Tampa Bay using Bioretention Systems","S. Ergas, M. Trotz, R. Locicero, E. Lopez, T. Lynn","2015","NA","#17-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#17-15","pollutant loading, TBERF, education, stormwater, water quality","https://drive.google.com/file/d/1ofAdilOz_E8rXCIiEMtzQAJaOy8lvmwL/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1ofAdilOz_E8rXCIiEMtzQAJaOy8lvmwL/view?usp=drivesdk"">View Document</a>","pollutant loading","TBERF","education","stormwater","water quality",NA
"techreport","tbep1615","A Community Based Stormwater Nutrient Management Program","H. Greening, E. Sherwood","2015","NA","#16-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#16-15","stormwater, TBERF, education, water quality","https://drive.google.com/file/d/1ZfhX7Wl4FysTuCiNdgHMQCQ9I1meIzYp/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1ZfhX7Wl4FysTuCiNdgHMQCQ9I1meIzYp/view?usp=drivesdk"">View Document</a>","stormwater","TBERF","education","water quality",NA,NA
"techreport","tbep1515","Rock Ponds Ecosystem Restoration in Tampa Bay (FL)","B. Henningsen","2015","NA","#15-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#15-15","bay habitats, restoration, TBERF","https://drive.google.com/file/d/1C7LTXBki2om_xsRqoW74ef6LHUdld7eq/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1C7LTXBki2om_xsRqoW74ef6LHUdld7eq/view?usp=drivesdk"">View Document</a>","bay habitats","restoration","TBERF",NA,NA,NA
"techreport","tbep1415","Autonomous Water Quality and Harmful Algal Bloom Monitoring (FL)","A. Corcoran","2015","NA","#14-15","NA","NA","NA","NA","Tampa Bay Estuary Program","St. Petersburg, Florida","NA","NA","#14-15","monitoring, TBERF, water quality, spatial analysis, status and trends","https://drive.google.com/file/d/1ex-WEAjQ3tapL27H_lO0XOOTRXC037af/view?usp=drivesdk","<a href=""https://drive.google.com/file/d/1ex-WEAjQ3tapL27H_lO0XOOTRXC037af/view?usp=drivesdk"">View Document</a>","monitoring","TBERF","water quality","spatial analysis","status and trends",NA
